,MPG
9,15.0
25,10.0
28,9.0
31,25.0
33,19.0
39,14.0
40,14.0
43,13.0
48,18.0
54,35.0
58,25.0
71,19.0
73,13.0
83,28.0
85,13.0
88,14.0
89,15.0
92,13.0
100,18.0
106,12.0
116,16.0
118,24.0
120,19.0
122,24.0
129,31.0
130,26.0
133,16.0
149,24.0
153,18.0
165,20.0
167,29.0
174,18.0
176,19.0
179,22.0
185,26.0
187,17.5
194,22.5
195,29.0
197,29.0
199,20.0
204,32.0
205,28.0
213,13.0
244,43.1
245,36.1
246,32.8
253,20.5
259,20.8
264,18.1
267,27.5
269,30.9
275,17.0
279,29.5
287,16.5
290,15.5
292,18.5
293,31.9
294,34.1
316,19.1
323,27.9
325,44.3
337,32.4
339,26.6
341,23.5
342,30.0
343,39.1
349,34.1
351,34.4
353,33.0
359,28.1
363,22.4
364,26.6
367,28.0
369,34.0
375,36.0
382,34.0
384,32.0
396,28.0
